OBJECTID;IDESTACION;CODIGOESTACION;DENOMINACION;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
2936;8_10359;10359;AV.MADRID-POLIDEPORTIVO;5;28802;2;B3;467174;4481057;1B
2937;8_15758;15758;GUIPÚZCOA-TOLEDO;115;28223;1;B1;428833;4474628;1
2938;8_15759;15759;GUIPÚZCOA-NAVARRA;115;28223;1;B1;429143;4474473;1
2939;8_11572;11572;AV.JESUITAS-PADRE LLANOS;5;28806;4;B3;468992;4482760;8
2940;8_15760;15760;VALLADOLID-OVIEDO;115;28223;1;B1;429495;4474344;1
2941;8_16789;16789;AV.EUROPA-ALEMANIA;115;28224;2;B1;433078;4477031;3
2942;8_16790;16790;AV.EUROPA-ALEMANIA;115;28224;2;B1;433018;4477042;2
2943;8_11170;11170;ISLAS BRITÁNICAS-ISLANDIA;58;28942;7;B2;431274;4460717;1
2944;8_11232;11232;PºCHOPERA-AV.CAMILO JOSÉ CELA;6;28100;1;B1;444488;4488684;2, 11
2945;8_11236;11236;SANTA MARÍA-PISTA POLIDEPORTIVA;127;28230;1;B2;426892;4483080;2
2946;8_12985;12985;PºE.TIERNO GALVÁN-PARQUE TIERNO GALVÁN;161;28341;1;B3;442543;4448882;2, 5, 6
2947;8_06902;6902;MADRID-COLEGIO;148;28850;4;B2;459419;4479399;1B, 5B
2948;8_13015;13015;AV.VALDEARGANDA-PZA.PROGRESO;14;28500;1;B3;461981;4462134;1
2949;8_17589;17589;ICÍAR BOLLAÍN-AV.RONDA;106;28980;1;B2;433700;4453628;1
2950;8_16339;16339;AV.MAR EGEO-POSEIDÓN;161;28340;1;B3;441361;4448091;7
2951;8_06787;6787;AV.COLMENAR VIEJO-RAMÓN ESTEBAN;134;28700;1;B1;446884;4488685;4, 5
2952;8_12217;12217;AV.MATAPIÑONERA-AV.CERRO DEL ÁGUILA;134;28709;1;B1;447833;4488719;4
2953;8_12059;12059;RÍO ARLANZA-RÍO TURIA;5;28803;3;B3;468746;4480237;5
2954;8_13157;13157;AV.RODEO-BAJA;152;28250;1;B3;424659;4491961;4
2955;8_10744;10744;AV.HITO-AV.LOMA;152;28250;1;B3;425275;4492642;5
2956;8_13154;13154;AV.HITO-AV.LOMA;152;28250;1;B3;425265;4492639;4
2957;8_11484;11484;HOCES DEL CABRIEL-GROENLANDIA;65;28909;4;B1;443867;4464309;4
2958;8_09955;9955;GABRIEL GªMÁRQUEZ-CENTRO PROFESORADO;47;28400;1;B3;414238;4497690;1, 2, 4, 6
2959;8_18088;18088;COMUNIDAD MADRID-BURGOCENTRO;127;28231;1;B2;425704;4482828;1, 2
2960;8_17504;17504;SAN JUAN-DEHESA DEL SOTO;68;28440;1;C1;408647;4504310;4
2961;8_16791;16791;AV.EUROPA-INGLATERRA;115;28224;2;B1;433326;4477210;2
2962;8_16792;16792;AV.EUROPA-INGLATERRA;115;28224;2;B1;433335;4477174;3
2963;8_18188;18188;CºARROYO LA DEHESA-DEHESA DE MARI MARTIN;96;28600;1;B3;415243;4460851;1
2964;8_07813;7813;OLIVO-EST.BULEVAR SUR;106;28981;1;B2;434323;4454351;1
2965;8_09952;9952;ESCOFINA-C.C.LOS OLIVOS;47;28400;1;B3;414002;4498085;6
2966;8_06386;6386;ISLA DE LOBEIRA-PLAYA LA LANZADA;47;28400;1;B3;414197;4497268;1, 2, 4
2967;8_06361;6361;PLAYA DE LOURO-CHOPOS;47;28400;1;B3;414787;4497120;1, 2, 4
2968;8_06362;6362;PLAYA DE LOURO-ISLAS CIES;47;28400;1;B3;414907;4497259;1, 2, 4
2969;8_10735;10735;AV.LAGO-DEPURADORA;152;28250;1;B3;424112;4491748;4, 5
2970;8_15973;15973;PZA.EPIFANIO VELASCO-IGLESIA;152;28250;1;B3;421252;4492400;1, 4, 5
2971;8_15527;15527;MAR ROJO-AV.DEHESA;152;28250;1;B3;421698;4492812;2
2972;8_07720;7720;AV.NACIONES-PARQUE;58;28943;7;B2;431895;4460035;4
2973;8_17591;17591;PLANETA SATURNO-AV.SISTEMA SOLAR;106;28980;1;B2;435517;4453265;3
2974;8_12989;12989;GOLETA-BARCO;80;28220;1;B2;425681;4479110;2
2975;8_11824;11824;CAMILO JOSÉ CELA-J.RAMÓN JIMÉNEZ;127;28232;1;B2;423953;4485798;2
2976;8_10502;10502;CºHUERTAS-COLEGIO;115;28223;1;B1;430782;4476995;3
2977;8_10450;10450;AV.NAVARRONDÁN -PºSEGOVIA;134;28702;1;B1;446873;4490413;4
2978;8_12610;12610;ALOE-ACEBO;123;28529;1;B1;455048;4468427;1
2979;8_12495;12495;AGUEDAS-CIUDAD DEPORTIVA;47;28400;1;B3;415203;4499712;1
2980;8_12500;12500;AV.ESPAÑA-CENTRO DE SALUD;80;28220;2;B2;426460;4481186;1
2981;8_12509;12509;AV.ENCUARTES-COMERCIO;903;28760;1;B2;439841;4494847;2, 4, 5
2982;8_12355;12355;CAMILO JOSÉ CELA-OCTAVIO PAZ;127;28232;1;B2;424500;4486541;2
2983;8_12382;12382;PZA.DAVID MARTÍN-CENTRO DE SALUD;113;28320;2;B2;440962;4456143;1
2984;8_17955;17955;SAN SEBASTIÁN-AV.MADRID;14;28500;1;B3;461574;4461909;4
2985;8_18343;18343;AV.PLANETAS-PLANETA SATURNO;106;28983;1;B2;435726;4453125;3
2986;8_18344;18344;PLANETA JÚPITER-AV.SISTEMA SOLAR;106;28983;1;B2;435313;4452652;3
2987;8_10220;10220;ESCORIALES-HOSPITAL GUADARRAMA;68;28440;1;C1;408287;4502912;4
2988;8_18346;18346;AV.SISTEMA SOLAR-PLANETA SATURNO;106;28983;1;B2;435468;4453226;3
2989;8_18345;18345;AV.SISTEMA SOLAR-EST.AV.SISTEMA SOLAR;106;28983;1;B2;435379;4452926;3
2990;8_12222;12222;AV.PEÑASCALES-URB.SALUD Y ALEGRÍA;152;28250;1;B3;423309;4492048;4
2991;8_12224;12224;AV.LAGO-EMBALSE LOS PEÑASCALES;152;28250;1;B3;423920;4491917;4
2992;8_10066;10066;LUIS ASTRANA MARÍN-PARQUE O´DONNELL;5;28806;7;B3;468765;4481859;11
2993;8_09953;9953;ESCOFINA-C.C.LOS OLIVOS;47;28409;1;B3;414060;4497963;2, 6
2994;8_08956;8956;CAMINO MOLINO-PARQUE SAN SEBASTIAN;96;28600;1;B3;413500;4460338;1
2995;8_08964;8964;BUENAVISTA-PIJORRO;96;28600;1;B3;413793;4460810;1
2996;8_12637;12637;GABRIELA MISTRAL-INSTITUTO;58;28942;9;B2;429252;4460849;4
2997;8_12877;12877;AV.LEGANÉS-AV.LOS CARABANCHELES;7;28921;1;B1;430098;4467295;2
2998;8_16333;16333;JOSÉ MARÍA PEMÁN-PARLA;161;28340;2;B3;441479;4449664;7
2999;8_08232;8232;AV.REYES CATÓLICOS-FAISÁN;65;28904;3;B1;437310;4462074;2
3000;8_18342;18342;AV.ESTRELLAS-PLANETA MARTE;106;28983;1;B2;435892;4452519;3
3001;8_10803;10803;AV.MESA DEL MONTE-URB.ALTOS DEL JARAMA;104;28860;1;B1;454524;4486095;1
3002;8_10805;10805;PORTILLO ROMERO-URB.PULIDO;104;28860;1;B1;454569;4485489;1
3003;8_09641;9641;ESCUADRA-POL.IND.PIRELLI;13;28300;3;C1;447433;4431788;2, 3
3004;8_11798;11798;AV.BRUSELAS-EST.LA MORALEJA;6;28109;1;B1;446318;4487170;9, 11
3005;8_09422;9422;AZALEA-PºDE ALCOBENDAS;6;28109;1;B1;446371;4486449;1, 2
3006;8_11088;11088;AV.CONSTITUCIÓN-AYUNTAMIENTO;127;28231;1;B2;425962;4482998;1, 2
3007;8_11328;11328;D POLÍGONO INDUSTRIAL 1-DESARROLLO;92;28938;4;B2;426202;4462816;2
3008;8_17907;17907;SANTIAGO RUSIÑOL-OROPÉNDOLA;13;28300;3;C1;447970;4431640;1, 2, 3, 4
3009;8_17908;17908;SANTIAGO RUSIÑOL-OROPÉNDOLA;13;28300;4;C1;447961;4431658;1, 4
3010;8_10899;10899;PºCIPRESES-CEMENTERIO;148;28850;2;B2;461839;4477624;1A, 1B
3011;8_17909;17909;ALFREDO NOBEL-RETAMAS;7;28922;4;B1;429514;4465690;2
3012;8_17910;17910;ALFREDO NOBEL-RETAMAS;7;28922;4;B1;429494;4465681;2
3013;8_17912;17912;ALFREDO NOBEL-HAYAS;7;28922;4;B1;429497;4465396;2
3014;8_17914;17914;PABLO PICASSO-MEDITERRANEO;7;28922;4;B1;428932;4465035;2
3015;8_18595;18595;CTRA.M516-URB.COTO DE LAS ENCINAS;22;28669;1;B2;426023;4476458;3
3016;8_16383;16383;CTRA.DEHESAS-CENTRO DE INTERPRETACIÓN;38;28479;1;C2;409724;4512595;1
3017;8_18557;18557;ESTACIÓN FERROCARRIL-EST.SAN FERNANDO;49;28823;4;B1;454818;4477221;2
3018;8_10670;10670;FEDERICA MONTSENY-URB.ARROYO ARRIBA;47;28400;1;B3;417923;4500651;4, 6
3019;8_18098;18098;AV.JUAN PABLO II-TALGO;45;28770;1;B3;433628;4500092;2
3020;8_18099;18099;AV.JUAN PABLO II-TALGO;45;28770;1;B3;433674;4500063;2
3021;8_18096;18096;AV.JUAN PABLO II-AGAPITO G.SERRANITO;45;28770;1;B3;434276;4500061;2
3022;8_18097;18097;AV.JUAN PABLO II-AGAPITO G.SERRANITO;45;28770;1;B3;434214;4500087;2
3023;8_12184;12184;AV.SIGLO XXI-EST.SIGLO XXI;22;28660;1;B2;424363;4473335;1, 4
3024;8_12187;12187;AV.INFANTE DON LUIS-GREGORIO MARAÑÓN;22;28660;1;B2;424080;4473452;1
3025;8_17802;17802;AV.CASTILLA-SIERRA DE GATA;130;28850;1;B1;457143;4478353;1
3026;8_16003;16003;AV.LEGUARIO-COLEGIO;106;28981;1;B2;434529;4453299;1, 2, 3
3027;8_10479;10479;AV.MONTE SEGOVIA-CENTRO COMERCIAL;22;28660;1;B2;423983;4474272;1
3028;8_11061;11061;CONSTITUCIÓN-BATALLA DE BRUNETE;58;28946;2;B2;433617;4459362;1, 2, 6
3029;8_10893;10893;CEMENTO-DELEGACIÓN DE HACIENDA;148;28850;2;B2;460183;4478244;2, 3, 1A, 5A
3030;8_11233;11233;PºCHOPERA-CENTRO CULTURAL;6;28100;1;B1;445583;4488447;10
3031;8_09594;9594;MORERAS-PRIMERO DE MAYO;13;28300;1;C1;449538;4432048;1, 4
3032;8_18640;18640;AV.ROMA-AV.HAYA;14;28500;1;B3;461671;4461281;4
3033;8_18643;18643;PRAGA-PZA.BRATISLAVA;14;28500;1;B3;461715;4461079;4
3034;8_17294;17294;AV.CIRCUNVALACIÓN-URB.LOS CHARCOS;104;28860;1;B1;456171;4483215;1, 2
3035;8_07430;7430;AV.CONSTITUCIÓN-EST.TORREJÓN DE ARDOZ;148;28850;4;B2;459348;4478663;2, 3, 1B, 5B
3036;8_16754;16754;GOBERNADOR-ALMÍBAR;13;28300;1;C1;448707;4431740;1, 2, 4
3037;8_12185;12185;AV.SIGLO XX-EST.SIGLO XXI;22;28660;1;B2;424447;4473314;1, 4
3038;8_16766;16766;MÚSICA-GTA. MÚSICA;13;28300;2;C1;449992;4431595;3
3039;8_17399;17399;CONCHA ESPINA-AV.MARÍA ZAMBRANO;65;28903;2;B1;438553;4464385;3
3040;8_10487;10487;AV.TENERIFE-PºJUANA DE CASTILLA;134;28700;1;B1;447407;4490282;7
3041;8_16767;16767;ALHAMBRA DE GRANADA-INSTITUTO;13;28300;4;C1;450298;4431752;3
3042;8_16328;16328;AGUSTINA DE ARAGÓN-TERESA DE CALCUTA;161;28342;2;B3;441234;4450594;7
3043;8_13195;13195;PºCLUB DEPORTIVO-CIUDAD DEPORTIVA;115;28223;1;B1;431033;4475382;1, 3
3044;8_12243;12243;VÍA COMPLUTENSE-BRIHUEGA;5;28805;1;B3;469530;4482016;10, 11
3045;8_12242;12242;VÍA COMPLUTENSE-BRIHUEGA;5;28805;1;B3;469505;4482038;10, 11
3046;8_20234;20234;ESCUELA POLITÉCNICA;5;28805;4;B3;470585;4484880;2
3047;8_20235;20235;MÉXICO-CºEL OLIVAR;5;28806;3;B3;467227;4483447;9
3048;8_20236;20236;MÉXICO-REPÚBLICA DOMINICANA;5;28806;3;B3;467252;4483445;9
3049;8_20237;20237;AV.PASIONISTAS-PZA.GUATEMALA;5;28806;3;B3;467509;4483646;9
