OBJECTID;IDESTACION;FECHAACTUAL;CODIGOESTACION;DENOMINACION;CODIGOEMPRESA;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
4116;6_864;20190912;864;ALBERTO AGUILERA-GALILEO;1325;79;28015;7;A;439867;4475952;21, M2
4117;6_902;20190912;902;Pº ALBERTO PALACIOS-PZA.AGATA;5154;79;28021;17;A;439871;4466671;22, 79
4118;6_920;20190912;920;ANTONIO LOPEZ-MARIBLANCA;924;79;28026;12;A;440396;4471663;23, N15
4119;6_953;20190912;953;SIERRA MOLINA-AV.SAN DIEGO;2188;79;28053;13;A;443393;4471203;24
4120;6_1170;20190912;1170;SEGOVIA-COSTANILLA SAN ANDRES;2250;79;28005;1;A;439757;4474123;31, 50, 65
4121;6_3419;20190912;3419;RIBADAVIA Nº 27;1498;79;28029;8;A;440073;4480656;42
4122;6_1758;20190912;1758;OCA-MATILDE HERNANDEZ;2547;79;28019;11;A;437799;4471472;55, N16, N26
4123;6_1803;20190912;1803;CARLOS MARTIN ALVAREZ-ARROYO OLIVAR;2564;79;28018;13;A;443970;4471653;57
4124;6_1806;20190912;1806;REAL DE ARGANDA-SIERRA TORCAL;1032;79;28031;18;A;447684;4470259;58, N9
4125;6_1882;20190912;1882;FUENTESPINA-AV.STA.EUGENIA;2616;79;28031;18;A;448518;4470222;63, 145, N9
4126;6_1915;20190912;1915;ISLAS ALEUTIANAS-OTERO Y DELAGE;1598;79;28035;8;A;438298;4481128;64, N20
4127;6_1749;20190912;1749;MOGAMBO-VOLVER A EMPEZAR;2580;79;28018;13;A;444258;4470321;57, 144
4128;6_1366;20190912;1366;JOAQUIN COSTA-GTA.LOPEZ HOYOS;4677;79;28002;5;A;442350;4477150;C2
4129;6_5838;20190912;5838;PASEO MELANCOLICOS-PASEO IMPERIAL;4115;79;28005;2;A;439135;4473778;62
4130;6_2056;20190912;2056;ARTURO SORIA-JUAN PEREZ ZUÑIGA;231;79;28027;15;A;445355;4477564;21, 70
4131;6_5959;20190912;5959;PASEO PINTOR ROSALES-ROMERO ROBLEDO;4234;79;28008;9;A;438741;4476008;74
4132;6_1548;20190912;1548;AV.ARCO VICTORIA-AV.SENECA;1331;79;28040;9;A;438656;4476839;46, 82, 83, 132, 133, 162, G, U
4133;6_5146;20190912;5146;PLAZA MONCLOA;2419;79;28008;9;A;439135;4476367;46, G, N28
4134;6_57;20190912;57;GUZMAN EL BUENO-FERNANDEZ DE LOS RIOS;190;79;28015;7;A;439620;4476582;2
4135;6_77;20190912;77;BLASCO DE GARAY Nº 40;177;79;28015;7;A;439764;4476366;2
4136;6_2267;20190912;2267;AV.ARCO VICTORIA-PZA.CARDENAL CISNEROS;1330;79;28040;9;A;438597;4476962;83, 133, 160, 161, 162, N28
4137;6_140;20190912;140;STA.ENGRACIA-MARIA DE GUZMAN;1399;79;28003;7;A;440531;4477498;3, 37, 45, 149
4138;6_5253;20190912;5253;RAIMUNDO FDEZ.VILLAVERDE-CICERON;5449;79;28020;6;A;440678;4477798;149, C2
4139;6_222;20190912;222;ORENSE-RAIMUNDO FDEZ.VILLAVERDE;1903;79;28020;6;A;441120;4477831;5, 149
4140;6_411;20190912;411;LOPEZ DE HOYOS-PZA.PROSPERIDAD;2013;79;28002;5;A;442945;4477481;9, 73, N2
4141;6_447;20190912;447;LOPEZ DE HOYOS-EUGENIO SALAZAR;2014;79;28002;5;A;442981;4477530;9, 73, N2
4142;6_52;20190912;52;SUERO DE QUIÑONES-PECHUAN;745;79;28002;5;A;442752;4477567;1
4143;6_3950;20190912;3950;PARQUE ZOOLOGICO;3940;79;28011;9;A;435600;4473683;33
4144;6_1199;20190912;1199;PARQUE ZOOLOGICO;2301;79;28011;9;A;435590;4473694;33
4145;6_240;20190912;240;ATOCHA-PZA.EMPERADOR CARLOS V;1924;79;28012;1;A;441288;4473643;6, 26, 32
4146;6_1049;20190912;1049;PASEO CASTELLANA-RAFAEL SALGADO;39;79;28046;5;A;441587;4478640;27, 40, 126, 147
4147;6_1198;20190912;1198;CTRA.BATAN-Pº ROBLEDAL;5744;79;28011;9;A;436129;4474021;33
4148;6_1197;20190912;1197;PARQUE DE ATRACCIONES PTA.PRINCIPAL;5743;79;28011;9;A;436301;4474140;33
4149;6_283;20190912;283;ATOCHA-PZA.EMPERADOR CARLOS V;1925;79;28012;1;A;441298;4473668;6, 26, 32
4150;6_239;20190912;239;ATOCHA-COSTANILLA DESAMPARADOS;1922;79;28012;1;A;440989;4473827;6, 26, 32
4151;6_1042;20190912;1042;RONDA DE ATOCHA Nº 35;85;79;28012;2;A;440812;4473254;27, 34, 36, 41, 119, C2, N12, N15, N17
4152;6_1570;20190912;1570;AV.ABRANTES-PELICANO;2439;79;28025;11;A;438197;4470419;47, 108
4153;6_6082;20190912;6082;INTERCAMBIADOR DE ALUCHE;5686;79;28047;10;A;435539;4470989;155
4154;6_5198;20190912;5198;RAFAEL FINAT-JUNTA MUNICIPAL LATINA;904;79;28044;10;A;435356;4470951;155
4155;6_5439;20190912;5439;AVDA DEL PADRE PIQUER-CAMPAMENTO;3718;79;28024;10;A;434895;4472129;36
4156;6_1347;20190912;1347;HNOS.GARCIA NOBLEJAS-ALCALA;239;79;28037;20;A;446049;4476709;4, 38, 48, 70, 105
